source,target,effect,regime
MECH_LOAD,ECM_COLLAGEN,transmits,both
ECM_COLLAGEN,INTEGRINS,activates,both
MECH_LOAD,PIEZO1,activates,both
MECH_LOAD,TRPV4,activates,both
INTEGRINS,TALIN,activates,both
INTEGRINS,PAXILLIN,activates,both
TALIN,VINCULIN,activates,both
PAXILLIN,FAK,activates,both
FAK,SRC,activates,both
PIEZO1,CA2,activates,both
TRPV4,CA2,activates,both
CA2,CAMK,activates,both
CA2,CALCINEURIN,activates,both
CALCINEURIN,NFAT,activates,both
FAK,MAPK_ERK,activates,both
SRC,MAPK_ERK,activates,both
FAK,PI3K_AKT,activates,both
FAK,RHOA,activates,both
RHOA,ROCK,activates,both
ROCK,YAP_TAZ,activates,physio
YAP_TAZ,TEAD,activates,physio
FAK,MAPK_P38,activates,overload
FAK,MAPK_JNK,activates,overload
MAPK_P38,AP1,activates,overload
MAPK_JNK,AP1,activates,overload
FAK,IKK_NFKB,activates,overload
IKK_NFKB,NFKB,activates,overload
PI3K_AKT,YAP_TAZ,activates,physio
MECH_LOAD,TGFb_SMAD,activates,both
TGFb_SMAD,SMAD,activates,both
TEAD,COL1A1,activates,physio
TEAD,LOX,activates,physio
SMAD,COL1A1,activates,both
SMAD,COL3A1,activates,both
TEAD,DCN_BGN,activates,physio
NFKB,IL6_COX2,activates,overload
AP1,MMPs,activates,overload
NFKB,MMPs,activates,overload
